订单ID,订单号,用户ID,note_id,笔记链接,类型,下单量,完成量,缺口量,原状态,现状态,清理批次,清理时间
5213,ORDER-1779778223422-405,3,6a0bdd8b000000000701100f,https://www.xiaohongshu.com/explore/6a0bdd8b000000000701100f,阅读,13000,8523,4477,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6194,ORDER-1779807321307-421,3,6a0d4df00000000035020eec,https://www.xiaohongshu.com/explore/6a0d4df00000000035020eec,阅读,9000,4569,4431,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
4720,ORDER-1779768323691-049,3,6a0f1b8800000000060376cf,https://www.xiaohongshu.com/explore/6a0f1b8800000000060376cf,阅读,21000,16919,4081,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5740,ORDER-1779787941005-051,3,69fc62e9000000003600280b,https://www.xiaohongshu.com/explore/69fc62e9000000003600280b,阅读,10000,6075,3925,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6198,ORDER-1779807321309-425,3,6a143b84000000003501df76,https://www.xiaohongshu.com/explore/6a143b84000000003501df76,阅读,8000,4182,3818,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5737,ORDER-1779787941004-048,3,69f32269000000001b021493,https://www.xiaohongshu.com/explore/69f32269000000001b021493,阅读,10000,6198,3802,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6192,ORDER-1779807321306-419,3,6a119d2e000000003502418a,https://www.xiaohongshu.com/explore/6a119d2e000000003502418a,阅读,8000,4203,3797,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5668,ORDER-1779784568893-133,3,6a1437a0000000000702bbcf,https://www.xiaohongshu.com/explore/6a1437a0000000000702bbcf,阅读,10000,6234,3766,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
6280,ORDER-1779807321319-507,3,6a1515a30000000036001929,https://www.xiaohongshu.com/explore/6a1515a30000000036001929,阅读,8000,4235,3765,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5226,ORDER-1779778223423-418,3,6a07efe9000000000702e7de,https://www.xiaohongshu.com/explore/6a07efe9000000000702e7de,阅读,12000,8326,3674,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5212,ORDER-1779778223422-404,3,6a06da9c0000000008026580,https://www.xiaohongshu.com/explore/6a06da9c0000000008026580,阅读,12000,8404,3596,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5224,ORDER-1779778223423-416,3,6a0464590000000008003ccd,https://www.xiaohongshu.com/explore/6a0464590000000008003ccd,阅读,12000,8469,3531,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5665,ORDER-1779784568892-130,3,6a115fa70000000008031409,https://www.xiaohongshu.com/explore/6a115fa70000000008031409,阅读,10000,6491,3509,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5669,ORDER-1779784568893-134,3,6a13cfe100000000080270bd,https://www.xiaohongshu.com/explore/6a13cfe100000000080270bd,阅读,10000,6531,3469,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5218,ORDER-1779778223422-410,3,6a0d470f0000000007013074,https://www.xiaohongshu.com/explore/6a0d470f0000000007013074,阅读,12000,8579,3421,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
5211,ORDER-1779778223422-403,3,6a06d8fc0000000006023be7,https://www.xiaohongshu.com/explore/6a06d8fc0000000006023be7,阅读,12000,8813,3187,running,cancelled,CLEANUP-STALE-20260605083541,2026/6/5 16:35:42
